Product Name_Flipkart,Product Name_Amazon,Product Link_Flipkart,Product Link_Amazon,Product Price_Flipkart,Product Price_Amazon,Price Difference
"realme 70 TURBO 5G (Turbo Green, 128 GB)","realme NARZO 70 Turbo 5G (Turbo Purple,8GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",https://www.flipkart.com/realme-70-turbo-5g-turbo-green-128-gb/p/itm7ebb13c5b0bcb?pid=MOBH4RZFRW8CGMWV&lid=LSTMOBH4RZFRW8CGMWVPH49FI&marketplace=FLIPKART&q=Narzo+5g&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=b60d594c-2f9c-419a-9503-fb6b5c5b052f.MOBH4RZFRW8CGMWV.SEARCH&ppt=None&ppn=None&ssid=cas6mi3h9c0000001735650919221&qH=05783a5206e7b9cc,https://www.amazon.in/realme-Segments-Dimensity-Motorsports-Inspired/dp/B0DDTXNGYN/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJqDsgNOOZA9xgxEayyPKAgU2a6b1FV9xK_hETD99EQQcuA0yfnmDo8_fKzIeETj0FF2s6gG7-d6d304QPQjCb7SgnLiW1oEB7A7pV_aPvyQekDBigISAOz_h7YzhUhOynQ-CT3yXPXTxDqWm1584MY27Q4PbfzhJPjAL4MjQefoeZ3UzBPef73RvKKF-g1SKRA.3fdW7vShWdSTWZd5pOg265GgTeGiXfcZJf8qEFAVKDI&dib_tag=se&keywords=Narzo+5g&nsdOptOutParam=true&qid=1735650908&sr=8-9,16185.5,17998.0,-1812.5
"realme 70 TURBO 5G (Turbo Green, 256 GB)","realme NARZO 70 Turbo 5G (Turbo Purple,8GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",https://www.flipkart.com/realme-70-turbo-5g-turbo-green-256-gb/p/itm7ebb13c5b0bcb?pid=MOBH4RZFDS8MNFPW&lid=LSTMOBH4RZFDS8MNFPWVB5VQC&marketplace=FLIPKART&q=Narzo+5g&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=b60d594c-2f9c-419a-9503-fb6b5c5b052f.MOBH4RZFDS8MNFPW.SEARCH&ppt=None&ppn=None&ssid=cas6mi3h9c0000001735650919221&qH=05783a5206e7b9cc,https://www.amazon.in/realme-Segments-Dimensity-Motorsports-Inspired/dp/B0DDTXNGYN/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJqDsgNOOZA9xgxEayyPKAgU2a6b1FV9xK_hETD99EQQcuA0yfnmDo8_fKzIeETj0FF2s6gG7-d6d304QPQjCb7SgnLiW1oEB7A7pV_aPvyQekDBigISAOz_h7YzhUhOynQ-CT3yXPXTxDqWm1584MY27Q4PbfzhJPjAL4MjQefoeZ3UzBPef73RvKKF-g1SKRA.3fdW7vShWdSTWZd5pOg265GgTeGiXfcZJf8qEFAVKDI&dib_tag=se&keywords=Narzo+5g&nsdOptOutParam=true&qid=1735650908&sr=8-9,20445.0,17998.0,2447.0
"realme 70 TURBO 5G (Turbo Purple, 128 GB)","realme NARZO 70 Turbo 5G (Turbo Purple,8GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",https://www.flipkart.com/realme-70-turbo-5g-turbo-purple-128-gb/p/itm7ebb13c5b0bcb?pid=MOBH4RZFGA8HQTBP&lid=LSTMOBH4RZFGA8HQTBPRFYDHK&marketplace=FLIPKART&q=Narzo+5g&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=b60d594c-2f9c-419a-9503-fb6b5c5b052f.MOBH4RZFGA8HQTBP.SEARCH&ppt=None&ppn=None&ssid=cas6mi3h9c0000001735650919221&qH=05783a5206e7b9cc,https://www.amazon.in/realme-Segments-Dimensity-Motorsports-Inspired/dp/B0DDTXNGYN/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJqDsgNOOZA9xgxEayyPKAgU2a6b1FV9xK_hETD99EQQcuA0yfnmDo8_fKzIeETj0FF2s6gG7-d6d304QPQjCb7SgnLiW1oEB7A7pV_aPvyQekDBigISAOz_h7YzhUhOynQ-CT3yXPXTxDqWm1584MY27Q4PbfzhJPjAL4MjQefoeZ3UzBPef73RvKKF-g1SKRA.3fdW7vShWdSTWZd5pOg265GgTeGiXfcZJf8qEFAVKDI&dib_tag=se&keywords=Narzo+5g&nsdOptOutParam=true&qid=1735650908&sr=8-9,16431.5,17998.0,-1566.5
"realme 70 TURBO 5G (Turbo Purple, 256 GB)","realme NARZO 70 Turbo 5G (Turbo Purple,8GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",https://www.flipkart.com/realme-70-turbo-5g-turbo-purple-256-gb/p/itm7ebb13c5b0bcb?pid=MOBH4RZFGGFXF2MG&lid=LSTMOBH4RZFGGFXF2MGZFKCQZ&marketplace=FLIPKART&q=Narzo+5g&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=b60d594c-2f9c-419a-9503-fb6b5c5b052f.MOBH4RZFGGFXF2MG.SEARCH&ppt=None&ppn=None&ssid=cas6mi3h9c0000001735650919221&qH=05783a5206e7b9cc,https://www.amazon.in/realme-Segments-Dimensity-Motorsports-Inspired/dp/B0DDTXNGYN/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJqDsgNOOZA9xgxEayyPKAgU2a6b1FV9xK_hETD99EQQcuA0yfnmDo8_fKzIeETj0FF2s6gG7-d6d304QPQjCb7SgnLiW1oEB7A7pV_aPvyQekDBigISAOz_h7YzhUhOynQ-CT3yXPXTxDqWm1584MY27Q4PbfzhJPjAL4MjQefoeZ3UzBPef73RvKKF-g1SKRA.3fdW7vShWdSTWZd5pOg265GgTeGiXfcZJf8qEFAVKDI&dib_tag=se&keywords=Narzo+5g&nsdOptOutParam=true&qid=1735650908&sr=8-9,20499.0,17998.0,2501.0
"realme 70 TURBO 5G (Turbo Yellow, 128 GB)","realme NARZO 70 Turbo 5G (Turbo Yellow, 8GB RAM, 128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",https://www.flipkart.com/realme-70-turbo-5g-turbo-yellow-128-gb/p/itm7ebb13c5b0bcb?pid=MOBH4RZFZUKSVCKZ&lid=LSTMOBH4RZFZUKSVCKZGESMIH&marketplace=FLIPKART&q=Narzo+5g&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=b60d594c-2f9c-419a-9503-fb6b5c5b052f.MOBH4RZFZUKSVCKZ.SEARCH&ppt=None&ppn=None&ssid=cas6mi3h9c0000001735650919221&qH=05783a5206e7b9cc,https://www.amazon.in/realme-Segments-Dimensity-Motorsports-Inspired/dp/B0DDTZQ4DC/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJqDsgNOOZA9xgxEayyPKAgU2a6b1FV9xK_hETD99EQQcuA0yfnmDo8_fKzIeETj0FF2s6gG7-d6d304QPQjCb7SgnLiW1oEB7A7pV_aPvyQekDBigISAOz_h7YzhUhOynQ-CT3yXPXTxDqWm1584MY27Q4PbfzhJPjAL4MjQefoeZ3UzBPef73RvKKF-g1SKRA.3fdW7vShWdSTWZd5pOg265GgTeGiXfcZJf8qEFAVKDI&dib_tag=se&keywords=Narzo+5g&nsdOptOutParam=true&qid=1735650908&sr=8-10,16558.5,17998.0,-1439.5
"realme NARZO 70 5G (ICE BLUE, 128 GB)","realme NARZO 70x 5G (Ice Blue, 6GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box",https://www.flipkart.com/realme-narzo-70-5g-ice-blue-128-gb/p/itm0d29cc0b3111b?pid=MOBHYFDAA4PXGHZJ&lid=LSTMOBHYFDAA4PXGHZJMZSRQI&marketplace=FLIPKART&q=Narzo+5g&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=b60d594c-2f9c-419a-9503-fb6b5c5b052f.MOBHYFDAA4PXGHZJ.SEARCH&ppt=None&ppn=None&ssid=cas6mi3h9c0000001735650919221&qH=05783a5206e7b9cc,https://www.amazon.in/realme-Storage-Display-Dimensity-Charger/dp/B0CZS3B3PY/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJqDsgNOOZA9xgxEayyPKAgU2a6b1FV9xK_hETD99EQQcuA0yfnmDo8_fKzIeETj0FF2s6gG7-d6d304QPQjCb7SgnLiW1oEB7A7pV_aPvyQekDBigISAOz_h7YzhUhOynQ-CT3yXPXTxDqWm1584MY27Q4PbfzhJPjAL4MjQefoeZ3UzBPef73RvKKF-g1SKRA.3fdW7vShWdSTWZd5pOg265GgTeGiXfcZJf8qEFAVKDI&dib_tag=se&keywords=Narzo+5g&nsdOptOutParam=true&qid=1735650908&sr=8-1,16999.0,10749.0,6250.0
"realme NARZO 70X 5G (FOREST GREEN, 128 GB)","realme NARZO 70 Turbo 5G (Turbo Green,6GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",https://www.flipkart.com/realme-narzo-70x-5g-forest-green-128-gb/p/itm4ef66169ea11b?pid=MOBHYCWRBMMQGUZG&lid=LSTMOBHYCWRBMMQGUZGTHEZDQ&marketplace=FLIPKART&q=Narzo+5g&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=b60d594c-2f9c-419a-9503-fb6b5c5b052f.MOBHYCWRBMMQGUZG.SEARCH&ppt=None&ppn=None&ssid=cas6mi3h9c0000001735650919221&qH=05783a5206e7b9cc,https://www.amazon.in/realme-Segments-Dimensity-Motorsports-Inspired/dp/B0DDTXW9WH/ref=mp_s_a_1_13?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJqDsgNOOZA9xgxEayyPKAgU2a6b1FV9xK_hETD99EQQcuA0yfnmDo8_fKzIeETj0FF2s6gG7-d6d304QPQjCb7SgnLiW1oEB7A7pV_aPvyQekDBigISAOz_h7YzhUhOynQ-CT3yXPXTxDqWm1584MY27Q4PbfzhJPjAL4MjQefoeZ3UzBPef73RvKKF-g1SKRA.3fdW7vShWdSTWZd5pOg265GgTeGiXfcZJf8qEFAVKDI&dib_tag=se&keywords=Narzo+5g&nsdOptOutParam=true&qid=1735650908&sr=8-13,12349.0,16998.0,-4649.0
"realme NARZO 70X 5G (Forest Green, 128 GB)","realme NARZO 70 Turbo 5G (Turbo Green,6GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",https://www.flipkart.com/realme-narzo-70x-5g-forest-green-128-gb/p/itm4f71d9402833b?pid=MOBHFYR2HMFX4SG5&lid=LSTMOBHFYR2HMFX4SG597USZJ&marketplace=FLIPKART&q=Narzo+5g&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=b60d594c-2f9c-419a-9503-fb6b5c5b052f.MOBHFYR2HMFX4SG5.SEARCH&ppt=None&ppn=None&ssid=cas6mi3h9c0000001735650919221&qH=05783a5206e7b9cc,https://www.amazon.in/realme-Segments-Dimensity-Motorsports-Inspired/dp/B0DDTXW9WH/ref=mp_s_a_1_13?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJqDsgNOOZA9xgxEayyPKAgU2a6b1FV9xK_hETD99EQQcuA0yfnmDo8_fKzIeETj0FF2s6gG7-d6d304QPQjCb7SgnLiW1oEB7A7pV_aPvyQekDBigISAOz_h7YzhUhOynQ-CT3yXPXTxDqWm1584MY27Q4PbfzhJPjAL4MjQefoeZ3UzBPef73RvKKF-g1SKRA.3fdW7vShWdSTWZd5pOg265GgTeGiXfcZJf8qEFAVKDI&dib_tag=se&keywords=Narzo+5g&nsdOptOutParam=true&qid=1735650908&sr=8-13,13799.0,16998.0,-3199.0
"realme NARZO 70X 5G (ICE BLUE, 128 GB)","realme NARZO 70x 5G (Ice Blue, 6GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box",https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/p/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT&lid=LSTMOBHYCWQUSWGF6FT75TDUE&marketplace=FLIPKART&q=Narzo+5g&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=b60d594c-2f9c-419a-9503-fb6b5c5b052f.MOBHYCWQUSWGF6FT.SEARCH&ppt=None&ppn=None&ssid=cas6mi3h9c0000001735650919221&qH=05783a5206e7b9cc,https://www.amazon.in/realme-Storage-Display-Dimensity-Charger/dp/B0CZS3B3PY/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJqDsgNOOZA9xgxEayyPKAgU2a6b1FV9xK_hETD99EQQcuA0yfnmDo8_fKzIeETj0FF2s6gG7-d6d304QPQjCb7SgnLiW1oEB7A7pV_aPvyQekDBigISAOz_h7YzhUhOynQ-CT3yXPXTxDqWm1584MY27Q4PbfzhJPjAL4MjQefoeZ3UzBPef73RvKKF-g1SKRA.3fdW7vShWdSTWZd5pOg265GgTeGiXfcZJf8qEFAVKDI&dib_tag=se&keywords=Narzo+5g&nsdOptOutParam=true&qid=1735650908&sr=8-1,11713.0,10749.0,964.0
"realme NARZO 70X 5G (Ice Blue, 128 GB)","realme NARZO 70x 5G (Ice Blue, 6GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box",https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/p/itm4f71d9402833b?pid=MOBHFYR3HDCKWSZY&lid=LSTMOBHFYR3HDCKWSZY3CRDM0&marketplace=FLIPKART&q=Narzo+5g&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=b60d594c-2f9c-419a-9503-fb6b5c5b052f.MOBHFYR3HDCKWSZY.SEARCH&ppt=None&ppn=None&ssid=cas6mi3h9c0000001735650919221&qH=05783a5206e7b9cc,https://www.amazon.in/realme-Storage-Display-Dimensity-Charger/dp/B0CZS3B3PY/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJqDsgNOOZA9xgxEayyPKAgU2a6b1FV9xK_hETD99EQQcuA0yfnmDo8_fKzIeETj0FF2s6gG7-d6d304QPQjCb7SgnLiW1oEB7A7pV_aPvyQekDBigISAOz_h7YzhUhOynQ-CT3yXPXTxDqWm1584MY27Q4PbfzhJPjAL4MjQefoeZ3UzBPef73RvKKF-g1SKRA.3fdW7vShWdSTWZd5pOg265GgTeGiXfcZJf8qEFAVKDI&dib_tag=se&keywords=Narzo+5g&nsdOptOutParam=true&qid=1735650908&sr=8-1,13199.0,10749.0,2450.0
