Product Name_Flipkart,Product Name_Amazon,Product Link_Flipkart,Product Link_Amazon,Product Price_Flipkart,Product Price_Amazon,Price Difference
"realme 12x 5G (Coral Red, 128 GB)","realme 12X 5G (Woodland Green, 8GB RAM, 128GB Storage)",https://www.flipkart.com/realme-12x-5g-coral-red-128-gb/p/itmaa3401e5370b5?pid=MOBH4KZABPGTZJQA&lid=LSTMOBH4KZABPGTZJQAPQH5JM&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=4ce87d94-6c27-438d-9a52-129f07c9f826.MOBH4KZABPGTZJQA.SEARCH&ppt=None&ppn=None&ssid=ebm0m980m80000001735650720917&qH=3575bd5d7b12dff4,https://www.amazon.in/realme-Woodland-Green-128GB-Storage/dp/B0CZLMNMF1/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJm1LGNGHbhebDlIpoqW_ZGSBFT3bm2BAFm97zoEAIY2l5pQQ1dOPyeLX2Bhks2K3RMbH_Grj_BYp1aojJ9KPAWc3LLc-PzPNVrEG4GngUlnNgf7J-wBRHbqYjChOQbZ2i8JmKQ1U0kcYXeGMEBYc4M-llyNkA3OVw2StNKxPNpCddvZPLP4OavZlf2T_DDbANQ.x3lKRK9A1Qxr02y73vWC-iqTt5MjxZt6ejnIGgCkVRs&dib_tag=se&keywords=Realme+5g&nsdOptOutParam=true&qid=1735650712&sr=8-8,13499.0,13149.0,350.0
"realme 12x 5G (Twilight Purple, 128 GB)","realme 12X 5G (Woodland Green, 8GB RAM, 128GB Storage)",https://www.flipkart.com/realme-12x-5g-twilight-purple-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BVK8HYMAG&lid=LSTMOBGYQ6BVK8HYMAGXL2LRY&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=4ce87d94-6c27-438d-9a52-129f07c9f826.MOBGYQ6BVK8HYMAG.SEARCH&ppt=None&ppn=None&ssid=ebm0m980m80000001735650720917&qH=3575bd5d7b12dff4,https://www.amazon.in/realme-Woodland-Green-128GB-Storage/dp/B0CZLMNMF1/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJm1LGNGHbhebDlIpoqW_ZGSBFT3bm2BAFm97zoEAIY2l5pQQ1dOPyeLX2Bhks2K3RMbH_Grj_BYp1aojJ9KPAWc3LLc-PzPNVrEG4GngUlnNgf7J-wBRHbqYjChOQbZ2i8JmKQ1U0kcYXeGMEBYc4M-llyNkA3OVw2StNKxPNpCddvZPLP4OavZlf2T_DDbANQ.x3lKRK9A1Qxr02y73vWC-iqTt5MjxZt6ejnIGgCkVRs&dib_tag=se&keywords=Realme+5g&nsdOptOutParam=true&qid=1735650712&sr=8-8,12999.0,13149.0,-150.0
"realme 12x 5G (Woodland Green, 128 GB)","realme 12X 5G (Woodland Green, 8GB RAM, 128GB Storage)",https://www.flipkart.com/realme-12x-5g-woodland-green-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BETBWFTDH&lid=LSTMOBGYQ6BETBWFTDHJLSPJZ&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=4ce87d94-6c27-438d-9a52-129f07c9f826.MOBGYQ6BETBWFTDH.SEARCH&ppt=None&ppn=None&ssid=ebm0m980m80000001735650720917&qH=3575bd5d7b12dff4,https://www.amazon.in/realme-Woodland-Green-128GB-Storage/dp/B0CZLMNMF1/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJm1LGNGHbhebDlIpoqW_ZGSBFT3bm2BAFm97zoEAIY2l5pQQ1dOPyeLX2Bhks2K3RMbH_Grj_BYp1aojJ9KPAWc3LLc-PzPNVrEG4GngUlnNgf7J-wBRHbqYjChOQbZ2i8JmKQ1U0kcYXeGMEBYc4M-llyNkA3OVw2StNKxPNpCddvZPLP4OavZlf2T_DDbANQ.x3lKRK9A1Qxr02y73vWC-iqTt5MjxZt6ejnIGgCkVRs&dib_tag=se&keywords=Realme+5g&nsdOptOutParam=true&qid=1735650712&sr=8-8,12999.0,13149.0,-150.0
"realme 13 Pro+ 5G (Emerald Green, 256 GB)","realme C65 5G (Feather Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/realme-13-pro-5g-emerald-green-256-gb/p/itm1e3e0852d520a?pid=MOBH2YYDQFVHGBYR&lid=LSTMOBH2YYDQFVHGBYRUKEM9F&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=4ce87d94-6c27-438d-9a52-129f07c9f826.MOBH2YYDQFVHGBYR.SEARCH&ppt=None&ppn=None&ssid=ebm0m980m80000001735650720917&qH=3575bd5d7b12dff4,https://www.amazon.in/realme-C65-Feather-Green-128/dp/B0D2DNDQZW/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJm1LGNGHbhebDlIpoqW_ZGSBFT3bm2BAFm97zoEAIY2l5pQQ1dOPyeLX2Bhks2K3RMbH_Grj_BYp1aojJ9KPAWc3LLc-PzPNVrEG4GngUlnNgf7J-wBRHbqYjChOQbZ2i8JmKQ1U0kcYXeGMEBYc4M-llyNkA3OVw2StNKxPNpCddvZPLP4OavZlf2T_DDbANQ.x3lKRK9A1Qxr02y73vWC-iqTt5MjxZt6ejnIGgCkVRs&dib_tag=se&keywords=Realme+5g&nsdOptOutParam=true&qid=1735650712&sr=8-4,31999.0,11499.0,20500.0
"realme 13 Pro+ 5G (Emerald Green, 512 GB)","realme C65 5G (Feather Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/realme-13-pro-5g-emerald-green-512-gb/p/itm1e3e0852d520a?pid=MOBH2YYDXZKBWZ7J&lid=LSTMOBH2YYDXZKBWZ7JRSVV8I&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=4ce87d94-6c27-438d-9a52-129f07c9f826.MOBH2YYDXZKBWZ7J.SEARCH&ppt=None&ppn=None&ssid=ebm0m980m80000001735650720917&qH=3575bd5d7b12dff4,https://www.amazon.in/realme-C65-Feather-Green-128/dp/B0D2DNDQZW/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJm1LGNGHbhebDlIpoqW_ZGSBFT3bm2BAFm97zoEAIY2l5pQQ1dOPyeLX2Bhks2K3RMbH_Grj_BYp1aojJ9KPAWc3LLc-PzPNVrEG4GngUlnNgf7J-wBRHbqYjChOQbZ2i8JmKQ1U0kcYXeGMEBYc4M-llyNkA3OVw2StNKxPNpCddvZPLP4OavZlf2T_DDbANQ.x3lKRK9A1Qxr02y73vWC-iqTt5MjxZt6ejnIGgCkVRs&dib_tag=se&keywords=Realme+5g&nsdOptOutParam=true&qid=1735650712&sr=8-4,35999.0,11499.0,24500.0
"realme 13 Pro+ 5G (Monet Gold, 256 GB)","realme 12+ 5G (Navigator Beige, 8GB RAM, 256GB Storage)",https://www.flipkart.com/realme-13-pro-5g-monet-gold-256-gb/p/itm1e3e0852d520a?pid=MOBH2YYDGKH33GNP&lid=LSTMOBH2YYDGKH33GNPMNTJNS&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=4ce87d94-6c27-438d-9a52-129f07c9f826.MOBH2YYDGKH33GNP.SEARCH&ppt=None&ppn=None&ssid=ebm0m980m80000001735650720917&qH=3575bd5d7b12dff4,https://www.amazon.in/realme-Navigator-Beige-256GB-Storage/dp/B0CX1ZJLD6/ref=mp_s_a_1_6?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJm1LGNGHbhebDlIpoqW_ZGSBFT3bm2BAFm97zoEAIY2l5pQQ1dOPyeLX2Bhks2K3RMbH_Grj_BYp1aojJ9KPAWc3LLc-PzPNVrEG4GngUlnNgf7J-wBRHbqYjChOQbZ2i8JmKQ1U0kcYXeGMEBYc4M-llyNkA3OVw2StNKxPNpCddvZPLP4OavZlf2T_DDbANQ.x3lKRK9A1Qxr02y73vWC-iqTt5MjxZt6ejnIGgCkVRs&dib_tag=se&keywords=Realme+5g&nsdOptOutParam=true&qid=1735650712&sr=8-6,31999.0,16580.0,15419.0
"realme 14x 5G (Crystal Black, 128 GB)","realme C65 5G (Feather Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/realme-14x-5g-crystal-black-128-gb/p/itmb45ae2fd70ae9?pid=MOBH6YGYVJH2M9FQ&lid=LSTMOBH6YGYVJH2M9FQGZVZ1Z&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=4ce87d94-6c27-438d-9a52-129f07c9f826.MOBH6YGYVJH2M9FQ.SEARCH&ppt=None&ppn=None&ssid=ebm0m980m80000001735650720917&qH=3575bd5d7b12dff4,https://www.amazon.in/realme-C65-Feather-Green-128/dp/B0D2DNDQZW/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJm1LGNGHbhebDlIpoqW_ZGSBFT3bm2BAFm97zoEAIY2l5pQQ1dOPyeLX2Bhks2K3RMbH_Grj_BYp1aojJ9KPAWc3LLc-PzPNVrEG4GngUlnNgf7J-wBRHbqYjChOQbZ2i8JmKQ1U0kcYXeGMEBYc4M-llyNkA3OVw2StNKxPNpCddvZPLP4OavZlf2T_DDbANQ.x3lKRK9A1Qxr02y73vWC-iqTt5MjxZt6ejnIGgCkVRs&dib_tag=se&keywords=Realme+5g&nsdOptOutParam=true&qid=1735650712&sr=8-4,15499.0,11499.0,4000.0
"realme 14x 5G (Golden Glow, 128 GB)","realme C65 5G (Feather Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/realme-14x-5g-golden-glow-128-gb/p/itmb45ae2fd70ae9?pid=MOBH6YGYHPYHHJWK&lid=LSTMOBH6YGYHPYHHJWKQMFFGP&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=4ce87d94-6c27-438d-9a52-129f07c9f826.MOBH6YGYHPYHHJWK.SEARCH&ppt=None&ppn=None&ssid=ebm0m980m80000001735650720917&qH=3575bd5d7b12dff4,https://www.amazon.in/realme-C65-Feather-Green-128/dp/B0D2DNDQZW/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJm1LGNGHbhebDlIpoqW_ZGSBFT3bm2BAFm97zoEAIY2l5pQQ1dOPyeLX2Bhks2K3RMbH_Grj_BYp1aojJ9KPAWc3LLc-PzPNVrEG4GngUlnNgf7J-wBRHbqYjChOQbZ2i8JmKQ1U0kcYXeGMEBYc4M-llyNkA3OVw2StNKxPNpCddvZPLP4OavZlf2T_DDbANQ.x3lKRK9A1Qxr02y73vWC-iqTt5MjxZt6ejnIGgCkVRs&dib_tag=se&keywords=Realme+5g&nsdOptOutParam=true&qid=1735650712&sr=8-4,15499.0,11499.0,4000.0
"realme 14x 5G (Jewel Red, 128 GB)","realme 12X 5G (Woodland Green, 8GB RAM, 128GB Storage)",https://www.flipkart.com/realme-14x-5g-jewel-red-128-gb/p/itmb45ae2fd70ae9?pid=MOBH6YGYKTENTGZZ&lid=LSTMOBH6YGYKTENTGZZOCLIKU&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=4ce87d94-6c27-438d-9a52-129f07c9f826.MOBH6YGYKTENTGZZ.SEARCH&ppt=None&ppn=None&ssid=ebm0m980m80000001735650720917&qH=3575bd5d7b12dff4,https://www.amazon.in/realme-Woodland-Green-128GB-Storage/dp/B0CZLMNMF1/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJm1LGNGHbhebDlIpoqW_ZGSBFT3bm2BAFm97zoEAIY2l5pQQ1dOPyeLX2Bhks2K3RMbH_Grj_BYp1aojJ9KPAWc3LLc-PzPNVrEG4GngUlnNgf7J-wBRHbqYjChOQbZ2i8JmKQ1U0kcYXeGMEBYc4M-llyNkA3OVw2StNKxPNpCddvZPLP4OavZlf2T_DDbANQ.x3lKRK9A1Qxr02y73vWC-iqTt5MjxZt6ejnIGgCkVRs&dib_tag=se&keywords=Realme+5g&nsdOptOutParam=true&qid=1735650712&sr=8-8,15499.0,13149.0,2350.0
"realme C63 5G Charger in the Box (Forest Green, 128 GB)","realme C65 5G (Feather Green, 128 GB) (6 GB RAM)",https://www.flipkart.com/realme-c63-5g-charger-box-forest-green-128-gb/p/itm10b8f5cccfadd?pid=MOBH3DZQ4JE2GVAR&lid=LSTMOBH3DZQ4JE2GVAR5U45PL&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=4ce87d94-6c27-438d-9a52-129f07c9f826.MOBH3DZQ4JE2GVAR.SEARCH&ppt=None&ppn=None&ssid=ebm0m980m80000001735650720917&qH=3575bd5d7b12dff4,https://www.amazon.in/realme-C65-Feather-Green-128/dp/B0D2DNDQZW/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.yZjPh_uhHOokXPKAsksyJm1LGNGHbhebDlIpoqW_ZGSBFT3bm2BAFm97zoEAIY2l5pQQ1dOPyeLX2Bhks2K3RMbH_Grj_BYp1aojJ9KPAWc3LLc-PzPNVrEG4GngUlnNgf7J-wBRHbqYjChOQbZ2i8JmKQ1U0kcYXeGMEBYc4M-llyNkA3OVw2StNKxPNpCddvZPLP4OavZlf2T_DDbANQ.x3lKRK9A1Qxr02y73vWC-iqTt5MjxZt6ejnIGgCkVRs&dib_tag=se&keywords=Realme+5g&nsdOptOutParam=true&qid=1735650712&sr=8-4,12499.0,11499.0,1000.0
