Product Name_Flipkart,Product Name_Amazon,Product Link_Flipkart,Product Link_Amazon,Product Price_Flipkart,Product Price_Amazon,Price Difference
"IQOO Z7 Pro 5G (Graphite Matte, 256 GB)","iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",https://www.flipkart.com/iqoo-z7-pro-5g-graphite-matte-256-gb/p/itm5f318d2e3e6d3?pid=MOBHFTYM5FMDHS6U&lid=LSTMOBHFTYM5FMDHS6UPHIUP5&marketplace=FLIPKART&q=Iqoo+5g&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=979e9a12-8213-4f2a-aedd-a9ce7d9b3143.MOBHFTYM5FMDHS6U.SEARCH&ppt=None&ppn=None&ssid=patycbznn40000001735652682890&qH=6c3239334d7e2ca5,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHSNYL5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.GnltgpOARH1jXrIWO9crSnYcFw8avhqXzsKsFO6qShLjEEaLlMSodQF3bK64iHZ90CqF1t80PAFoz2kpVqIq1z6cNPCZ5nUJwFZa8UJEEFdGZauoqGl972lELMIza4JJ85UqzF4ulDl_UAKXLguJ7H1sICMlMtGsWKXPFjiTFXZJcNXrJC5K-XpLsHK2m2IWb-mtEdmc0kzxQyYFoFhF7emUr7lrzE9tQ_KB2MDt_Kk.JE2h86b2VS5vmCUhprHUQ6NPn6GoVT8owrs8c0KOfHA&dib_tag=se&keywords=Iqoo+5g&qid=1735652680&sr=8-1,21999.0,11499.0,10500.0
"IQOO Z9 (Brushed Green, 128 GB)","iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",https://www.flipkart.com/iqoo-z9-brushed-green-128-gb/p/itme27e664c66320?pid=MOBGZFVUYE7M7EMR&lid=LSTMOBGZFVUYE7M7EMRJHLEIE&marketplace=FLIPKART&q=Iqoo+5g&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=979e9a12-8213-4f2a-aedd-a9ce7d9b3143.MOBGZFVUYE7M7EMR.SEARCH&ppt=None&ppn=None&ssid=patycbznn40000001735652682890&qH=6c3239334d7e2ca5,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHSNYL5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.GnltgpOARH1jXrIWO9crSnYcFw8avhqXzsKsFO6qShLjEEaLlMSodQF3bK64iHZ90CqF1t80PAFoz2kpVqIq1z6cNPCZ5nUJwFZa8UJEEFdGZauoqGl972lELMIza4JJ85UqzF4ulDl_UAKXLguJ7H1sICMlMtGsWKXPFjiTFXZJcNXrJC5K-XpLsHK2m2IWb-mtEdmc0kzxQyYFoFhF7emUr7lrzE9tQ_KB2MDt_Kk.JE2h86b2VS5vmCUhprHUQ6NPn6GoVT8owrs8c0KOfHA&dib_tag=se&keywords=Iqoo+5g&qid=1735652680&sr=8-1,18926.0,11499.0,7427.0
"IQOO Z9 5G (Brushed Green, 256 GB)","iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",https://www.flipkart.com/iqoo-z9-5g-brushed-green-256-gb/p/itm4bdb51f6a3f34?pid=MOBGZYZRNM766B5F&lid=LSTMOBGZYZRNM766B5FOTNJZE&marketplace=FLIPKART&q=Iqoo+5g&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=979e9a12-8213-4f2a-aedd-a9ce7d9b3143.MOBGZYZRNM766B5F.SEARCH&ppt=None&ppn=None&ssid=patycbznn40000001735652682890&qH=6c3239334d7e2ca5,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHSNYL5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.GnltgpOARH1jXrIWO9crSnYcFw8avhqXzsKsFO6qShLjEEaLlMSodQF3bK64iHZ90CqF1t80PAFoz2kpVqIq1z6cNPCZ5nUJwFZa8UJEEFdGZauoqGl972lELMIza4JJ85UqzF4ulDl_UAKXLguJ7H1sICMlMtGsWKXPFjiTFXZJcNXrJC5K-XpLsHK2m2IWb-mtEdmc0kzxQyYFoFhF7emUr7lrzE9tQ_KB2MDt_Kk.JE2h86b2VS5vmCUhprHUQ6NPn6GoVT8owrs8c0KOfHA&dib_tag=se&keywords=Iqoo+5g&qid=1735652680&sr=8-1,20474.0,11499.0,8975.0
"IQOO Z9 Lite 5G (Aqua Flow, 128 GB)","iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",https://www.flipkart.com/iqoo-z9-lite-5g-aqua-flow-128-gb/p/itm33918a61f0bb6?pid=MOBH3FDDKSZPCP8Y&lid=LSTMOBH3FDDKSZPCP8YRDGCVH&marketplace=FLIPKART&q=Iqoo+5g&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=979e9a12-8213-4f2a-aedd-a9ce7d9b3143.MOBH3FDDKSZPCP8Y.SEARCH&ppt=None&ppn=None&ssid=patycbznn40000001735652682890&qH=6c3239334d7e2ca5,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHSNYL5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.GnltgpOARH1jXrIWO9crSnYcFw8avhqXzsKsFO6qShLjEEaLlMSodQF3bK64iHZ90CqF1t80PAFoz2kpVqIq1z6cNPCZ5nUJwFZa8UJEEFdGZauoqGl972lELMIza4JJ85UqzF4ulDl_UAKXLguJ7H1sICMlMtGsWKXPFjiTFXZJcNXrJC5K-XpLsHK2m2IWb-mtEdmc0kzxQyYFoFhF7emUr7lrzE9tQ_KB2MDt_Kk.JE2h86b2VS5vmCUhprHUQ6NPn6GoVT8owrs8c0KOfHA&dib_tag=se&keywords=Iqoo+5g&qid=1735652680&sr=8-1,11750.0,11499.0,251.0
"IQOO Z9 Lite 5G (Mocha Brown, 128 GB)","iQOO Z9 Lite 5G (Mocha Brown, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",https://www.flipkart.com/iqoo-z9-lite-5g-mocha-brown-128-gb/p/itm33918a61f0bb6?pid=MOBH2Z85WXFGZPTM&lid=LSTMOBH2Z85WXFGZPTMZM1SOG&marketplace=FLIPKART&q=Iqoo+5g&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=979e9a12-8213-4f2a-aedd-a9ce7d9b3143.MOBH2Z85WXFGZPTM.SEARCH&ppt=None&ppn=None&ssid=patycbznn40000001735652682890&qH=6c3239334d7e2ca5,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHQS4LB/ref=sr_1_2?dib=eyJ2IjoiMSJ9.GnltgpOARH1jXrIWO9crSnYcFw8avhqXzsKsFO6qShLjEEaLlMSodQF3bK64iHZ90CqF1t80PAFoz2kpVqIq1z6cNPCZ5nUJwFZa8UJEEFdGZauoqGl972lELMIza4JJ85UqzF4ulDl_UAKXLguJ7H1sICMlMtGsWKXPFjiTFXZJcNXrJC5K-XpLsHK2m2IWb-mtEdmc0kzxQyYFoFhF7emUr7lrzE9tQ_KB2MDt_Kk.JE2h86b2VS5vmCUhprHUQ6NPn6GoVT8owrs8c0KOfHA&dib_tag=se&keywords=Iqoo+5g&qid=1735652680&sr=8-2,11477.5,11499.0,-21.5
"IQOO Z9S 5G (Onyx Green, 256 GB)","iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",https://www.flipkart.com/iqoo-z9s-5g-onyx-green-256-gb/p/itme8048e0375248?pid=MOBH4BY6ZF5FVUZJ&lid=LSTMOBH4BY6ZF5FVUZJPR8FEV&marketplace=FLIPKART&q=Iqoo+5g&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=979e9a12-8213-4f2a-aedd-a9ce7d9b3143.MOBH4BY6ZF5FVUZJ.SEARCH&ppt=None&ppn=None&ssid=patycbznn40000001735652682890&qH=6c3239334d7e2ca5,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHSNYL5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.GnltgpOARH1jXrIWO9crSnYcFw8avhqXzsKsFO6qShLjEEaLlMSodQF3bK64iHZ90CqF1t80PAFoz2kpVqIq1z6cNPCZ5nUJwFZa8UJEEFdGZauoqGl972lELMIza4JJ85UqzF4ulDl_UAKXLguJ7H1sICMlMtGsWKXPFjiTFXZJcNXrJC5K-XpLsHK2m2IWb-mtEdmc0kzxQyYFoFhF7emUr7lrzE9tQ_KB2MDt_Kk.JE2h86b2VS5vmCUhprHUQ6NPn6GoVT8owrs8c0KOfHA&dib_tag=se&keywords=Iqoo+5g&qid=1735652680&sr=8-1,26299.5,11499.0,14800.5
"IQOO Z9S 5G (Titanium Matte, 256 GB)","iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",https://www.flipkart.com/iqoo-z9s-5g-titanium-matte-256-gb/p/itme8048e0375248?pid=MOBH4BY6ZGSBXETK&lid=LSTMOBH4BY6ZGSBXETK7868OU&marketplace=FLIPKART&q=Iqoo+5g&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=979e9a12-8213-4f2a-aedd-a9ce7d9b3143.MOBH4BY6ZGSBXETK.SEARCH&ppt=None&ppn=None&ssid=patycbznn40000001735652682890&qH=6c3239334d7e2ca5,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHSNYL5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.GnltgpOARH1jXrIWO9crSnYcFw8avhqXzsKsFO6qShLjEEaLlMSodQF3bK64iHZ90CqF1t80PAFoz2kpVqIq1z6cNPCZ5nUJwFZa8UJEEFdGZauoqGl972lELMIza4JJ85UqzF4ulDl_UAKXLguJ7H1sICMlMtGsWKXPFjiTFXZJcNXrJC5K-XpLsHK2m2IWb-mtEdmc0kzxQyYFoFhF7emUr7lrzE9tQ_KB2MDt_Kk.JE2h86b2VS5vmCUhprHUQ6NPn6GoVT8owrs8c0KOfHA&dib_tag=se&keywords=Iqoo+5g&qid=1735652680&sr=8-1,26290.0,11499.0,14791.0
"IQOO Z9S PRO 5G (Flamboyant Orange, 128 GB)","iQOO Z9 Lite 5G (Mocha Brown, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",https://www.flipkart.com/iqoo-z9s-pro-5g-flamboyant-orange-128-gb/p/itm0c3240bc57302?pid=MOBH4FBY2CQHPBH9&lid=LSTMOBH4FBY2CQHPBH9ZPB6TQ&marketplace=FLIPKART&q=Iqoo+5g&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=979e9a12-8213-4f2a-aedd-a9ce7d9b3143.MOBH4FBY2CQHPBH9.SEARCH&ppt=None&ppn=None&ssid=patycbznn40000001735652682890&qH=6c3239334d7e2ca5,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHQS4LB/ref=sr_1_2?dib=eyJ2IjoiMSJ9.GnltgpOARH1jXrIWO9crSnYcFw8avhqXzsKsFO6qShLjEEaLlMSodQF3bK64iHZ90CqF1t80PAFoz2kpVqIq1z6cNPCZ5nUJwFZa8UJEEFdGZauoqGl972lELMIza4JJ85UqzF4ulDl_UAKXLguJ7H1sICMlMtGsWKXPFjiTFXZJcNXrJC5K-XpLsHK2m2IWb-mtEdmc0kzxQyYFoFhF7emUr7lrzE9tQ_KB2MDt_Kk.JE2h86b2VS5vmCUhprHUQ6NPn6GoVT8owrs8c0KOfHA&dib_tag=se&keywords=Iqoo+5g&qid=1735652680&sr=8-2,23999.0,11499.0,12500.0
"IQOO Z9S PRO 5G (Flamboyant Orange, 256 GB)","iQOO Z9 Lite 5G (Mocha Brown, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",https://www.flipkart.com/iqoo-z9s-pro-5g-flamboyant-orange-256-gb/p/itm0c3240bc57302?pid=MOBH4FB2ZNSXE7NN&lid=LSTMOBH4FB2ZNSXE7NNLYC6LZ&marketplace=FLIPKART&q=Iqoo+5g&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=979e9a12-8213-4f2a-aedd-a9ce7d9b3143.MOBH4FB2ZNSXE7NN.SEARCH&ppt=None&ppn=None&ssid=patycbznn40000001735652682890&qH=6c3239334d7e2ca5,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHQS4LB/ref=sr_1_2?dib=eyJ2IjoiMSJ9.GnltgpOARH1jXrIWO9crSnYcFw8avhqXzsKsFO6qShLjEEaLlMSodQF3bK64iHZ90CqF1t80PAFoz2kpVqIq1z6cNPCZ5nUJwFZa8UJEEFdGZauoqGl972lELMIza4JJ85UqzF4ulDl_UAKXLguJ7H1sICMlMtGsWKXPFjiTFXZJcNXrJC5K-XpLsHK2m2IWb-mtEdmc0kzxQyYFoFhF7emUr7lrzE9tQ_KB2MDt_Kk.JE2h86b2VS5vmCUhprHUQ6NPn6GoVT8owrs8c0KOfHA&dib_tag=se&keywords=Iqoo+5g&qid=1735652680&sr=8-2,28010.5,11499.0,16511.5
"IQOO Z9S PRO 5G (Luxe Marble, 128 GB)","iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",https://www.flipkart.com/iqoo-z9s-pro-5g-luxe-marble-128-gb/p/itm52c420f605659?pid=MOBH4FBB8DNDC9GE&lid=LSTMOBH4FBB8DNDC9GE6H5KJ7&marketplace=FLIPKART&q=Iqoo+5g&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=979e9a12-8213-4f2a-aedd-a9ce7d9b3143.MOBH4FBB8DNDC9GE.SEARCH&ppt=None&ppn=None&ssid=patycbznn40000001735652682890&qH=6c3239334d7e2ca5,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHSNYL5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.GnltgpOARH1jXrIWO9crSnYcFw8avhqXzsKsFO6qShLjEEaLlMSodQF3bK64iHZ90CqF1t80PAFoz2kpVqIq1z6cNPCZ5nUJwFZa8UJEEFdGZauoqGl972lELMIza4JJ85UqzF4ulDl_UAKXLguJ7H1sICMlMtGsWKXPFjiTFXZJcNXrJC5K-XpLsHK2m2IWb-mtEdmc0kzxQyYFoFhF7emUr7lrzE9tQ_KB2MDt_Kk.JE2h86b2VS5vmCUhprHUQ6NPn6GoVT8owrs8c0KOfHA&dib_tag=se&keywords=Iqoo+5g&qid=1735652680&sr=8-1,24814.0,11499.0,13315.0
"IQOO Z9S PRO 5G (Luxe Marble, 256 GB)","iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",https://www.flipkart.com/iqoo-z9s-pro-5g-luxe-marble-256-gb/p/itm52c420f605659?pid=MOBH4FBEH6RSMPSN&lid=LSTMOBH4FBEH6RSMPSNHOY0PU&marketplace=FLIPKART&q=Iqoo+5g&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=979e9a12-8213-4f2a-aedd-a9ce7d9b3143.MOBH4FBEH6RSMPSN.SEARCH&ppt=None&ppn=None&ssid=patycbznn40000001735652682890&qH=6c3239334d7e2ca5,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHSNYL5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.GnltgpOARH1jXrIWO9crSnYcFw8avhqXzsKsFO6qShLjEEaLlMSodQF3bK64iHZ90CqF1t80PAFoz2kpVqIq1z6cNPCZ5nUJwFZa8UJEEFdGZauoqGl972lELMIza4JJ85UqzF4ulDl_UAKXLguJ7H1sICMlMtGsWKXPFjiTFXZJcNXrJC5K-XpLsHK2m2IWb-mtEdmc0kzxQyYFoFhF7emUr7lrzE9tQ_KB2MDt_Kk.JE2h86b2VS5vmCUhprHUQ6NPn6GoVT8owrs8c0KOfHA&dib_tag=se&keywords=Iqoo+5g&qid=1735652680&sr=8-1,28918.0,11499.0,17419.0
