Product Name_Flipkart,Product Name_Amazon,Product Link_Flipkart,Product Link_Amazon,Product Price_Flipkart,Product Price_Amazon,Price Difference
"OnePlus 12 (Silky Black, 512 GB)","OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)",https://www.flipkart.com/oneplus-12-silky-black-512-gb/p/itm4464454f95a2e?pid=MOBGXGT7VXK6HU9T&lid=LSTMOBGXGT7VXK6HU9TMMPHWR&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=c0dee435-dc05-41d1-9f92-22b6723954cc.MOBGXGT7VXK6HU9T.SEARCH&ppt=None&ppn=None&ssid=xdqus8thxc0000001735822475039&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B0D5YFZ946/ref=sr_1_4?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQc6sspwPQdvniEWYY6P3eu1WY0WQICUvVMtP1kUnRhSHaWbLHjtomPR5dOFHg-yX_f64ydEfm_U0eB9694HYOl0MRN8n427opicf7BHmXNolfpkjQikk04Kz2hevlc8wC54jkExyIW_x2sE1pe-I0v7e8aQUr39BPgRLNPidlOABiPb4e17HzmAF6RPMAJ_rrGLBozQNxlvy99CHdAt3ACDo.LSppXGzQPlD5a2iNZAkY2-iNzeE0kUvmsXFuhYNZ4rg&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735822336&sr=8-4,62400.0,17999.0,44401.0
"OnePlus 12R (Cool Blue, 128 GB)","OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)",https://www.flipkart.com/oneplus-12r-cool-blue-128-gb/p/itm347349f7db2f2?pid=MOBGXGT7ACPJHUBF&lid=LSTMOBGXGT7ACPJHUBFMRZL4A&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=c0dee435-dc05-41d1-9f92-22b6723954cc.MOBGXGT7ACPJHUBF.SEARCH&ppt=None&ppn=None&ssid=xdqus8thxc0000001735822475039&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B0D5YFZ946/ref=sr_1_4?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQc6sspwPQdvniEWYY6P3eu1WY0WQICUvVMtP1kUnRhSHaWbLHjtomPR5dOFHg-yX_f64ydEfm_U0eB9694HYOl0MRN8n427opicf7BHmXNolfpkjQikk04Kz2hevlc8wC54jkExyIW_x2sE1pe-I0v7e8aQUr39BPgRLNPidlOABiPb4e17HzmAF6RPMAJ_rrGLBozQNxlvy99CHdAt3ACDo.LSppXGzQPlD5a2iNZAkY2-iNzeE0kUvmsXFuhYNZ4rg&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735822336&sr=8-4,39980.0,17999.0,21981.0
"OnePlus 12R (Cool Blue, 256 GB)","OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)",https://www.flipkart.com/oneplus-12r-cool-blue-256-gb/p/itm347349f7db2f2?pid=MOBGXGT7HKG8JFGU&lid=LSTMOBGXGT7HKG8JFGUX3NZTV&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=c0dee435-dc05-41d1-9f92-22b6723954cc.MOBGXGT7HKG8JFGU.SEARCH&ppt=None&ppn=None&ssid=xdqus8thxc0000001735822475039&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B0D5YFZ946/ref=sr_1_4?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQc6sspwPQdvniEWYY6P3eu1WY0WQICUvVMtP1kUnRhSHaWbLHjtomPR5dOFHg-yX_f64ydEfm_U0eB9694HYOl0MRN8n427opicf7BHmXNolfpkjQikk04Kz2hevlc8wC54jkExyIW_x2sE1pe-I0v7e8aQUr39BPgRLNPidlOABiPb4e17HzmAF6RPMAJ_rrGLBozQNxlvy99CHdAt3ACDo.LSppXGzQPlD5a2iNZAkY2-iNzeE0kUvmsXFuhYNZ4rg&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735822336&sr=8-4,38363.0,17999.0,20364.0
"OnePlus 12R (Iron Gray, 128 GB)","OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)",https://www.flipkart.com/oneplus-12r-iron-gray-128-gb/p/itm347349f7db2f2?pid=MOBGXGT7YP8GPTGU&lid=LSTMOBGXGT7YP8GPTGUMXSPXW&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=c0dee435-dc05-41d1-9f92-22b6723954cc.MOBGXGT7YP8GPTGU.SEARCH&ppt=None&ppn=None&ssid=xdqus8thxc0000001735822475039&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Nord-Chromatic-128GB-Storage/dp/B0BY8MCQ9S/ref=sr_1_1?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQc6sspwPQdvniEWYY6P3eu1WY0WQICUvVMtP1kUnRhSHaWbLHjtomPR5dOFHg-yX_f64ydEfm_U0eB9694HYOl0MRN8n427opicf7BHmXNolfpkjQikk04Kz2hevlc8wC54jkExyIW_x2sE1pe-I0v7e8aQUr39BPgRLNPidlOABiPb4e17HzmAF6RPMAJ_rrGLBozQNxlvy99CHdAt3ACDo.LSppXGzQPlD5a2iNZAkY2-iNzeE0kUvmsXFuhYNZ4rg&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735822336&sr=8-1,39988.0,15195.0,24793.0
"OnePlus 12R (Iron Gray, 256 GB)","OnePlus Nord 4 5G (Obsidian Midnight, 12GB RAM, 256GB Storage)",https://www.flipkart.com/oneplus-12r-iron-gray-256-gb/p/itm347349f7db2f2?pid=MOBGZ8RSPHZWR22T&lid=LSTMOBGZ8RSPHZWR22TWH6EUL&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=c0dee435-dc05-41d1-9f92-22b6723954cc.MOBGZ8RSPHZWR22T.SEARCH&ppt=None&ppn=None&ssid=xdqus8thxc0000001735822475039&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Obsidian-Midnight-256GB-Storage/dp/B0D7VGCPDL/ref=sr_1_8?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQc6sspwPQdvniEWYY6P3eu1WY0WQICUvVMtP1kUnRhSHaWbLHjtomPR5dOFHg-yX_f64ydEfm_U0eB9694HYOl0MRN8n427opicf7BHmXNolfpkjQikk04Kz2hevlc8wC54jkExyIW_x2sE1pe-I0v7e8aQUr39BPgRLNPidlOABiPb4e17HzmAF6RPMAJ_rrGLBozQNxlvy99CHdAt3ACDo.LSppXGzQPlD5a2iNZAkY2-iNzeE0kUvmsXFuhYNZ4rg&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735822336&sr=8-8,39000.0,32999.0,6001.0
"OnePlus 12R (Iron Grey, 256 GB)","OnePlus Nord 4 5G (Obsidian Midnight, 12GB RAM, 256GB Storage)",https://www.flipkart.com/oneplus-12r-iron-grey-256-gb/p/itm347349f7db2f2?pid=MOBGXGT7XCHTPRBJ&lid=LSTMOBGXGT7XCHTPRBJLRXHCW&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=c0dee435-dc05-41d1-9f92-22b6723954cc.MOBGXGT7XCHTPRBJ.SEARCH&ppt=None&ppn=None&ssid=xdqus8thxc0000001735822475039&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Obsidian-Midnight-256GB-Storage/dp/B0D7VGCPDL/ref=sr_1_8?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQc6sspwPQdvniEWYY6P3eu1WY0WQICUvVMtP1kUnRhSHaWbLHjtomPR5dOFHg-yX_f64ydEfm_U0eB9694HYOl0MRN8n427opicf7BHmXNolfpkjQikk04Kz2hevlc8wC54jkExyIW_x2sE1pe-I0v7e8aQUr39BPgRLNPidlOABiPb4e17HzmAF6RPMAJ_rrGLBozQNxlvy99CHdAt3ACDo.LSppXGzQPlD5a2iNZAkY2-iNzeE0kUvmsXFuhYNZ4rg&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735822336&sr=8-8,38445.0,32999.0,5446.0
"OnePlus Nord 3 5G (Tempest Gray, 128 GB)","OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)",https://www.flipkart.com/oneplus-nord-3-5g-tempest-gray-128-gb/p/itm5fc87afce35dc?pid=MOBGRK2VXCKBADB5&lid=LSTMOBGRK2VXCKBADB5G3SU0W&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=c0dee435-dc05-41d1-9f92-22b6723954cc.MOBGRK2VXCKBADB5.SEARCH&ppt=None&ppn=None&ssid=xdqus8thxc0000001735822475039&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Nord-Chromatic-128GB-Storage/dp/B0BY8MCQ9S/ref=sr_1_1?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQc6sspwPQdvniEWYY6P3eu1WY0WQICUvVMtP1kUnRhSHaWbLHjtomPR5dOFHg-yX_f64ydEfm_U0eB9694HYOl0MRN8n427opicf7BHmXNolfpkjQikk04Kz2hevlc8wC54jkExyIW_x2sE1pe-I0v7e8aQUr39BPgRLNPidlOABiPb4e17HzmAF6RPMAJ_rrGLBozQNxlvy99CHdAt3ACDo.LSppXGzQPlD5a2iNZAkY2-iNzeE0kUvmsXFuhYNZ4rg&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735822336&sr=8-1,20494.0,15195.0,5299.0
"OnePlus Nord 4 5G (Mercurial Silver, 256 GB)","OnePlus Nord 4 5G (Mercurial Silver, 8GB RAM, 256GB Storage)",https://www.flipkart.com/oneplus-nord-4-5g-mercurial-silver-256-gb/p/itmed83e7926e3e5?pid=MOBH3YA8UXSNRSXW&lid=LSTMOBH3YA8UXSNRSXWQR3RFM&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=c0dee435-dc05-41d1-9f92-22b6723954cc.MOBH3YA8UXSNRSXW.SEARCH&ppt=None&ppn=None&ssid=xdqus8thxc0000001735822475039&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Mercurial-Silver-256GB-Storage/dp/B0D7VKSZGW/ref=sr_1_15?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQc6sspwPQdvniEWYY6P3eu1WY0WQICUvVMtP1kUnRhSHaWbLHjtomPR5dOFHg-yX_f64ydEfm_U0eB9694HYOl0MRN8n427opicf7BHmXNolfpkjQikk04Kz2hevlc8wC54jkExyIW_x2sE1pe-I0v7e8aQUr39BPgRLNPidlOABiPb4e17HzmAF6RPMAJ_rrGLBozQNxlvy99CHdAt3ACDo.LSppXGzQPlD5a2iNZAkY2-iNzeE0kUvmsXFuhYNZ4rg&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735822336&sr=8-15,29709.0,29999.0,-290.0
"OnePlus Nord 4 5G (Oasis Green, 256 GB)","OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 256GB Storage)",https://www.flipkart.com/oneplus-nord-4-5g-oasis-green-256-gb/p/itmed83e7926e3e5?pid=MOBH3YA8ZFTVSREP&lid=LSTMOBH3YA8ZFTVSREPNDNV1D&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=c0dee435-dc05-41d1-9f92-22b6723954cc.MOBH3YA8ZFTVSREP.SEARCH&ppt=None&ppn=None&ssid=xdqus8thxc0000001735822475039&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Oasis-Green-256GB-Storage/dp/B0D7VGZS69/ref=sr_1_10?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQc6sspwPQdvniEWYY6P3eu1WY0WQICUvVMtP1kUnRhSHaWbLHjtomPR5dOFHg-yX_f64ydEfm_U0eB9694HYOl0MRN8n427opicf7BHmXNolfpkjQikk04Kz2hevlc8wC54jkExyIW_x2sE1pe-I0v7e8aQUr39BPgRLNPidlOABiPb4e17HzmAF6RPMAJ_rrGLBozQNxlvy99CHdAt3ACDo.LSppXGzQPlD5a2iNZAkY2-iNzeE0kUvmsXFuhYNZ4rg&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735822336&sr=8-10,29999.0,29999.0,0.0
"OnePlus Nord 4 5G (Obsidian Midnight, 256 GB)","OnePlus Nord 4 5G (Obsidian Midnight, 8GB RAM, 256GB Storage)",https://www.flipkart.com/oneplus-nord-4-5g-obsidian-midnight-256-gb/p/itmed83e7926e3e5?pid=MOBH3YA8RS8FVJZK&lid=LSTMOBH3YA8RS8FVJZKEXJWIQ&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=c0dee435-dc05-41d1-9f92-22b6723954cc.MOBH3YA8RS8FVJZK.SEARCH&ppt=None&ppn=None&ssid=xdqus8thxc0000001735822475039&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Obsidian-Midnight-256GB-Storage/dp/B0D7VKMLGD/ref=sr_1_13?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQc6sspwPQdvniEWYY6P3eu1WY0WQICUvVMtP1kUnRhSHaWbLHjtomPR5dOFHg-yX_f64ydEfm_U0eB9694HYOl0MRN8n427opicf7BHmXNolfpkjQikk04Kz2hevlc8wC54jkExyIW_x2sE1pe-I0v7e8aQUr39BPgRLNPidlOABiPb4e17HzmAF6RPMAJ_rrGLBozQNxlvy99CHdAt3ACDo.LSppXGzQPlD5a2iNZAkY2-iNzeE0kUvmsXFuhYNZ4rg&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735822336&sr=8-13,29897.0,29999.0,-102.0
