Product Name,Product Link,Product Price,Product Details
"realme 12x 5G (Woodland Green, 128 GB)",https://www.flipkart.com/realme-12x-5g-woodland-green-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6B7WKC4SVZ&lid=LSTMOBGYQ6B7WKC4SVZNEZRW7&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=cf96bcd7-9764-4159-a02c-a58f5d027f0b.MOBGYQ6B7WKC4SVZ.SEARCH&ppt=None&ppn=None&ssid=9jgvedw75s0000001735826812159&qH=3575bd5d7b12dff4,13499,"8 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.07 cm (6.72 inch) Full HD+ Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6100+ Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"realme 12x 5G (Twilight Purple, 128 GB)",https://www.flipkart.com/realme-12x-5g-twilight-purple-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BVK8HYMAG&lid=LSTMOBGYQ6BVK8HYMAGXL2LRY&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=cf96bcd7-9764-4159-a02c-a58f5d027f0b.MOBGYQ6BVK8HYMAG.SEARCH&ppt=None&ppn=None&ssid=9jgvedw75s0000001735826812159&qH=3575bd5d7b12dff4,13499,"8 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.07 cm (6.72 inch) Full HD+ Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6100+ Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"realme 12x 5G (Coral Red, 128 GB)",https://www.flipkart.com/realme-12x-5g-coral-red-128-gb/p/itmaa3401e5370b5?pid=MOBH4KZABPGTZJQA&lid=LSTMOBH4KZABPGTZJQAPQH5JM&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=cf96bcd7-9764-4159-a02c-a58f5d027f0b.MOBH4KZABPGTZJQA.SEARCH&ppt=None&ppn=None&ssid=9jgvedw75s0000001735826812159&qH=3575bd5d7b12dff4,13499,"8 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.07 cm (6.72 inch) Full HD+ Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6100+ Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"realme 12x 5G (Woodland Green, 128 GB)",https://www.flipkart.com/realme-12x-5g-woodland-green-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BETBWFTDH&lid=LSTMOBGYQ6BETBWFTDHJLSPJZ&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=cf96bcd7-9764-4159-a02c-a58f5d027f0b.MOBGYQ6BETBWFTDH.SEARCH&ppt=None&ppn=None&ssid=9jgvedw75s0000001735826812159&qH=3575bd5d7b12dff4,12499,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.07 cm (6.72 inch) Full HD+ Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6100+ Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"realme 12x 5G (Twilight Purple, 128 GB)",https://www.flipkart.com/realme-12x-5g-twilight-purple-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BMYWCAZEC&lid=LSTMOBGYQ6BMYWCAZECB5I66N&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=cf96bcd7-9764-4159-a02c-a58f5d027f0b.MOBGYQ6BMYWCAZEC.SEARCH&ppt=None&ppn=None&ssid=9jgvedw75s0000001735826812159&qH=3575bd5d7b12dff4,12499,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.07 cm (6.72 inch) Full HD+ Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6100+ Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"realme P1 5G (Feather Blue, 128 GB)",https://www.flipkart.com/realme-p1-5g-feather-blue-128-gb/p/itmae4447062b5b5?pid=MOBH4GSKATGPQSAU&lid=LSTMOBH4GSKATGPQSAUXI0KNN&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=cf96bcd7-9764-4159-a02c-a58f5d027f0b.MOBH4GSKATGPQSAU.SEARCH&ppt=None&ppn=None&ssid=9jgvedw75s0000001735826812159&qH=3575bd5d7b12dff4,14999,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
16.94 cm (6.67 inch) Full HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Dimensity 7050 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"realme P1 5G (Peacock Green, 128 GB)",https://www.flipkart.com/realme-p1-5g-peacock-green-128-gb/p/itmae4447062b5b5?pid=MOBGZSU4HH7YZW6D&lid=LSTMOBGZSU4HH7YZW6DCKAPTF&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=cf96bcd7-9764-4159-a02c-a58f5d027f0b.MOBGZSU4HH7YZW6D.SEARCH&ppt=None&ppn=None&ssid=9jgvedw75s0000001735826812159&qH=3575bd5d7b12dff4,15999,"8 GB RAM | 128 GB ROM | Expandable Upto 2 TB
16.94 cm (6.67 inch) Full HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Dimensity 7050 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"realme P1 5G (Feather Blue, 256 GB)",https://www.flipkart.com/realme-p1-5g-feather-blue-256-gb/p/itmae4447062b5b5?pid=MOBH4GSK9KY3PHFY&lid=LSTMOBH4GSK9KY3PHFYXNBGLF&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=cf96bcd7-9764-4159-a02c-a58f5d027f0b.MOBH4GSK9KY3PHFY.SEARCH&ppt=None&ppn=None&ssid=9jgvedw75s0000001735826812159&qH=3575bd5d7b12dff4,18999,"8 GB RAM | 256 GB ROM | Expandable Upto 2 TB
16.94 cm (6.67 inch) Full HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Dimensity 7050 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"realme P1 5G (Peacock Green, 128 GB)",https://www.flipkart.com/realme-p1-5g-peacock-green-128-gb/p/itmae4447062b5b5?pid=MOBGYQ6BEHHQ9H7X&lid=LSTMOBGYQ6BEHHQ9H7XUGYV7T&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=cf96bcd7-9764-4159-a02c-a58f5d027f0b.MOBGYQ6BEHHQ9H7X.SEARCH&ppt=None&ppn=None&ssid=9jgvedw75s0000001735826812159&qH=3575bd5d7b12dff4,14999,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
16.94 cm (6.67 inch) Full HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Dimensity 7050 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"realme P1 5G (Feather Blue, 128 GB)",https://www.flipkart.com/realme-p1-5g-feather-blue-128-gb/p/itmae4447062b5b5?pid=MOBH4GSKTWXF8GH3&lid=LSTMOBH4GSKTWXF8GH3THMYM8&marketplace=FLIPKART&q=Realme+5g&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=cf96bcd7-9764-4159-a02c-a58f5d027f0b.MOBH4GSKTWXF8GH3.SEARCH&ppt=None&ppn=None&ssid=9jgvedw75s0000001735826812159&qH=3575bd5d7b12dff4,15999,"8 GB RAM | 128 GB ROM | Expandable Upto 2 TB
16.94 cm (6.67 inch) Full HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Dimensity 7050 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
