Product Name,Product Link,Product Boughts,Product Price
"Vivo T3 Lite 5G Smartphone (Vibrant Green, 6GB Ram 128GB Storage)",https://www.amazon.in/Vivo-Smartphone-Vibrant-Green-Storage/dp/B0D93HRDD3/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-1,1K+ bought in past month,11447
"Vivo T3x 5G (Crimson Bliss, 128 GB) (6 GB RAM)",https://www.amazon.in/Vivo-T3x-Crimson-Bliss-128/dp/B0D73N7H3W/ref=mp_s_a_1_2?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-2,1K+ bought in past month,14419
"Vivo T3 Lite 5G Smartphone (Vibrant Green, 4GB Ram 128GB Storage)",https://www.amazon.in/Vivo-T3-Lite-Smartphone-Vibrant/dp/B0D9LT67DN/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-3,500+ bought in past month,10499
"Vivo T3 Lite 5G Smartphone (Majestic Black, 6GB Ram 128GB Storage)",https://www.amazon.in/Vivo-T3-Lite-Smartphone-Majestic/dp/B0D93GGMYT/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-4,500+ bought in past month,11649
"Vivo T3x 5G (Celestial Green, 128 GB) (6 GB RAM)",https://www.amazon.in/Vivo-T3x-Celestial-Green-128/dp/B07WDKKJWK/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-5,1K+ bought in past month,13980
"Vivo T3X 5G (Crimson Bliss, 4GB Ram, 128GB Storage)",https://www.amazon.in/Vivo-Crimson-Bliss-128GB-Storage/dp/B0D95L61LG/ref=mp_s_a_1_6?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-6,500+ bought in past month,12490
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjY2NjMwNjU2OTI5NDI5OjE3MzU4MzQ2ODI6c3BfcGhvbmVfc2VhcmNoX210ZjozMDAxMTg1OTY4OTUxMzI6OjA6Og&url=%2FRedmi-Storage-Bezel-Less-Slimmest-Pro-Grade%2Fdp%2FB0CQPGG8KG%2Fref%3Dmp_s_a_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg%26dib_tag%3Dse%26keywords%3Dvivo%2B5g%26nsdOptOutParam%3Dtrue%26qid%3D1735834681%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1,500+ bought in past month,15999
"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjY2NjMwNjU2OTI5NDI5OjE3MzU4MzQ2ODI6c3BfcGhvbmVfc2VhcmNoX210ZjozMDAyOTU3NzczODQzMzI6OjA6Og&url=%2FRedmi-Orchid-Largest-Display-Segment%2Fdp%2FB0D78W2HF5%2Fref%3Dmp_s_a_1_8_sspa%3Fdib%3DeyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg%26dib_tag%3Dse%26keywords%3Dvivo%2B5g%26nsdOptOutParam%3Dtrue%26qid%3D1735834681%26sr%3D8-8-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1,1K+ bought in past month,12999
"Vivo T3 Lite 5G Smartphone (Majestic Black, 4GB Ram 128GB Storage)",https://www.amazon.in/Vivo-T3-Lite-Smartphone-Majestic/dp/B0D9MPS3WL/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-9,300+ bought in past month,10489
"Vivo T3x 5G (Celestial Green, 128 GB) (4 GB RAM)",https://www.amazon.in/Vivo-T3x-Celestial-Green-128/dp/B07WGNSVL1/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.-BrQ8DoCevYMAv-j_n11ZqunfbWIefZ2I8MfK6Rz2Ooz_w2eWXqVWaRpcf2RCFZS2QTi7fGmMqTp9EQ0mpvsbJWunwFm7J5vCRCYgsqW1PUDNOh9DiTeyYfwXHRyVK7_bJILi5lCJ69n_xfZ18Wop9jOO3ZqL-ZmycZaIaFnFTeJMs0lZtBIkgFwYPaRwIWOBmOIkjFiP2OEcnDk8NNUyQ.2kYn6JBA0XC_oi6BhCBiQkDD4YOj6c1b9dvkqvfxCRg&dib_tag=se&keywords=vivo+5g&nsdOptOutParam=true&qid=1735834681&sr=8-10,300+ bought in past month,12249
