Product Name,Product Link,Product Price,Product Details
"vivo T3 Ultra (Lunar Gray, 128 GB)",https://www.flipkart.com/vivo-t3-ultra-lunar-gray-128-gb/p/itme360ff5b7dbab?pid=MOBH4EADEDFW9BBK&lid=LSTMOBH4EADEDFW9BBK9ITVTG&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_thOAmu-uu3NZqoFgtJuB8micieEJMozXMkn6GMRqwmh7PN0S5pC5ApziQU3c5QfS4FR0PCxIVdZUeuF_HKbzh_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,31999,"8 GB RAM | 128 GB ROM
17.22 cm (6.78 inch) Display
50MP + 8MP | 50MP Front Camera
5500 mAh Battery
Dimensity 9200+ Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories"
"vivo T3 Lite 5G (Majestic Black, 128 GB)",https://www.flipkart.com/vivo-t3-lite-5g-majestic-black-128-gb/p/itm977c89a44d373?pid=MOBHFTYB4ZHAAGFS&lid=LSTMOBHFTYB4ZHAAGFS9V33ZB&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBHFTYB4ZHAAGFS.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,11499,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.66 cm (6.56 inch) Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"vivo T3 Lite 5G (Vibrant Green, 128 GB)",https://www.flipkart.com/vivo-t3-lite-5g-vibrant-green-128-gb/p/itm977c89a44d373?pid=MOBHFTYBGJ7RW9ZQ&lid=LSTMOBHFTYBGJ7RW9ZQRJTON0&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBHFTYBGJ7RW9ZQ.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,10499,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.66 cm (6.56 inch) Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"vivo T3x 5G (Sapphire Blue, 128 GB)",https://www.flipkart.com/vivo-t3x-5g-sapphire-blue-128-gb/p/itm263ed44f56cd5?pid=MOBH4EAC8GFJXHHP&lid=LSTMOBH4EAC8GFJXHHPMYAKQS&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBH4EAC8GFJXHHP.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,15499,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.07 cm (6.72 inch) Full HD+ Display
50MP + 2MP | 8MP Front Camera
6000 mAh Battery
6 Gen 1 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"vivo T3 Lite 5G (Majestic Black, 128 GB)",https://www.flipkart.com/vivo-t3-lite-5g-majestic-black-128-gb/p/itm977c89a44d373?pid=MOBHFTYBDGMZMT9U&lid=LSTMOBHFTYBDGMZMT9UN8473W&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBHFTYBDGMZMT9U.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,10499,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.66 cm (6.56 inch) Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"vivo T3 Lite 5G (Vibrant Green, 128 GB)",https://www.flipkart.com/vivo-t3-lite-5g-vibrant-green-128-gb/p/itm977c89a44d373?pid=MOBHFTYBA6V3RVZE&lid=LSTMOBHFTYBA6V3RVZE3H4WTW&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBHFTYBA6V3RVZE.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,11499,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.66 cm (6.56 inch) Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"vivo T3 Pro 5G (Sandstone Orange, 256 GB)",https://www.flipkart.com/vivo-t3-pro-5g-sandstone-orange-256-gb/p/itmcf52c1fcffbf3?pid=MOBH3XHR46RHEMVH&lid=LSTMOBH3XHR46RHEMVHQKBFEZ&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBH3XHR46RHEMVH.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,26999,"8 GB RAM | 256 GB ROM
17.2 cm (6.77 inch) Full HD+ AMOLED Display
50MP + 8MP | 16MP Front Camera
5500 mAh Battery
Snapdragon 7 Gen 3 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories"
"vivo T3 Pro 5G (Emerald Green, 256 GB)",https://www.flipkart.com/vivo-t3-pro-5g-emerald-green-256-gb/p/itmcf52c1fcffbf3?pid=MOBH3XHRUQMKBEZX&lid=LSTMOBH3XHRUQMKBEZXUBLAII&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBH3XHRUQMKBEZX.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,26999,"8 GB RAM | 256 GB ROM
17.2 cm (6.77 inch) Full HD+ AMOLED Display
50MP + 8MP | 16MP Front Camera
5500 mAh Battery
Snapdragon 7 Gen 3 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories"
"vivo T3x 5G (Crimson Bliss, 128 GB)",https://www.flipkart.com/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEPA4FFHCV&lid=LSTMOBGZRNEPA4FFHCVQ1YECQ&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBGZRNEPA4FFHCV.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,13999,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.06 cm (6.7165354 inch) Full HD+ Display
50MP + 2MP | 8MP Front Camera
6000 mAh Battery
6 Gen 1 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
"vivo T3x 5G (Crimson Bliss, 128 GB)",https://www.flipkart.com/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEQGWCCN4D&lid=LSTMOBGZRNEQGWCCN4DPIBMCT&marketplace=FLIPKART&q=vivo+5g&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=8793fd99-4082-4c15-be48-7d62db73770d.MOBGZRNEQGWCCN4D.SEARCH&ppt=None&ppn=None&ssid=3gh3e96bf40000001735834708660&qH=58c9076fcec270ac,12499,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.06 cm (6.7165354 inch) Full HD+ Display
50MP + 2MP | 8MP Front Camera
6000 mAh Battery
6 Gen 1 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
