Product Name_Flipkart,Product Name_Amazon,Product Link_Flipkart,Product Link_Amazon,Product Price_Flipkart,Product Price_Amazon,Price Difference
"OnePlus 11 5G (Eternal Green, 128 GB)","OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)",https://www.flipkart.com/oneplus-11-5g-eternal-green-128-gb/p/itm18ce6eb43d245?pid=MOBGQ9PXHFHWAWXA&lid=LSTMOBGQ9PXHFHWAWXAIWYGSP&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=b46f67b3-ceb6-45a3-b220-ddfcadc3a722.MOBGQ9PXHFHWAWXA.SEARCH&ppt=None&ppn=None&ssid=6d2lxew00w0000001735652226455&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B0D5YFZ946/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQcwBXUuyZNE850WJ_n3YAdB-dWbLQ5rzwyCLXCi-wMfmHWbLHjtomPR5dOFHg-yX_f4i-Sd7kP4DL-pQ8tJCbsUtMc-rKBjMLQRNpax9HrA4USReNwSg_ZdPZ5roxvkWALis3bevMj-rMbKv8cJGDhSIPAnwez2hOSOBzwjPOLXUPwVf7H078tudUKfL1coUU-A.CqSt7VUtAdIS91sslp_qjh5Q5FB2Q2AadgDgvjowBwc&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735652215&sr=8-3,36690.0,17999.0,18691.0
"OnePlus 12R (Cool Blue, 128 GB)","OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)",https://www.flipkart.com/oneplus-12r-cool-blue-128-gb/p/itm347349f7db2f2?pid=MOBGXGT7ACPJHUBF&lid=LSTMOBGXGT7ACPJHUBFIFDSIM&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=b46f67b3-ceb6-45a3-b220-ddfcadc3a722.MOBGXGT7ACPJHUBF.SEARCH&ppt=None&ppn=None&ssid=6d2lxew00w0000001735652226455&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B0D5YFZ946/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQcwBXUuyZNE850WJ_n3YAdB-dWbLQ5rzwyCLXCi-wMfmHWbLHjtomPR5dOFHg-yX_f4i-Sd7kP4DL-pQ8tJCbsUtMc-rKBjMLQRNpax9HrA4USReNwSg_ZdPZ5roxvkWALis3bevMj-rMbKv8cJGDhSIPAnwez2hOSOBzwjPOLXUPwVf7H078tudUKfL1coUU-A.CqSt7VUtAdIS91sslp_qjh5Q5FB2Q2AadgDgvjowBwc&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735652215&sr=8-3,39999.0,17999.0,22000.0
"OnePlus 12R (Cool Blue, 256 GB)","OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)",https://www.flipkart.com/oneplus-12r-cool-blue-256-gb/p/itm347349f7db2f2?pid=MOBGXGT7HKG8JFGU&lid=LSTMOBGXGT7HKG8JFGURJ5Y4P&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=b46f67b3-ceb6-45a3-b220-ddfcadc3a722.MOBGXGT7HKG8JFGU.SEARCH&ppt=None&ppn=None&ssid=6d2lxew00w0000001735652226455&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B0D5YFZ946/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQcwBXUuyZNE850WJ_n3YAdB-dWbLQ5rzwyCLXCi-wMfmHWbLHjtomPR5dOFHg-yX_f4i-Sd7kP4DL-pQ8tJCbsUtMc-rKBjMLQRNpax9HrA4USReNwSg_ZdPZ5roxvkWALis3bevMj-rMbKv8cJGDhSIPAnwez2hOSOBzwjPOLXUPwVf7H078tudUKfL1coUU-A.CqSt7VUtAdIS91sslp_qjh5Q5FB2Q2AadgDgvjowBwc&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735652215&sr=8-3,38272.0,17999.0,20273.0
"OnePlus 12R (Iron Gray, 256 GB)","OnePlus Nord 4 5G (Obsidian Midnight, 12GB RAM, 256GB Storage)",https://www.flipkart.com/oneplus-12r-iron-gray-256-gb/p/itm347349f7db2f2?pid=MOBGZ8RSPHZWR22T&lid=LSTMOBGZ8RSPHZWR22T37FIL9&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=b46f67b3-ceb6-45a3-b220-ddfcadc3a722.MOBGZ8RSPHZWR22T.SEARCH&ppt=None&ppn=None&ssid=6d2lxew00w0000001735652226455&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Obsidian-Midnight-256GB-Storage/dp/B0D7VGCPDL/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQcwBXUuyZNE850WJ_n3YAdB-dWbLQ5rzwyCLXCi-wMfmHWbLHjtomPR5dOFHg-yX_f4i-Sd7kP4DL-pQ8tJCbsUtMc-rKBjMLQRNpax9HrA4USReNwSg_ZdPZ5roxvkWALis3bevMj-rMbKv8cJGDhSIPAnwez2hOSOBzwjPOLXUPwVf7H078tudUKfL1coUU-A.CqSt7VUtAdIS91sslp_qjh5Q5FB2Q2AadgDgvjowBwc&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735652215&sr=8-10,36861.0,32999.0,3862.0
"OnePlus 12R (Iron Grey, 256 GB)","OnePlus Nord 4 5G (Obsidian Midnight, 12GB RAM, 256GB Storage)",https://www.flipkart.com/oneplus-12r-iron-grey-256-gb/p/itm347349f7db2f2?pid=MOBGXGT7XCHTPRBJ&lid=LSTMOBGXGT7XCHTPRBJZIUZL8&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=b46f67b3-ceb6-45a3-b220-ddfcadc3a722.MOBGXGT7XCHTPRBJ.SEARCH&ppt=None&ppn=None&ssid=6d2lxew00w0000001735652226455&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Obsidian-Midnight-256GB-Storage/dp/B0D7VGCPDL/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQcwBXUuyZNE850WJ_n3YAdB-dWbLQ5rzwyCLXCi-wMfmHWbLHjtomPR5dOFHg-yX_f4i-Sd7kP4DL-pQ8tJCbsUtMc-rKBjMLQRNpax9HrA4USReNwSg_ZdPZ5roxvkWALis3bevMj-rMbKv8cJGDhSIPAnwez2hOSOBzwjPOLXUPwVf7H078tudUKfL1coUU-A.CqSt7VUtAdIS91sslp_qjh5Q5FB2Q2AadgDgvjowBwc&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735652215&sr=8-10,38170.0,32999.0,5171.0
"OnePlus Nord 3 5G (Tempest Gray, 256 GB)","OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 256GB Storage)",https://www.flipkart.com/oneplus-nord-3-5g-tempest-gray-256-gb/p/itm5fc87afce35dc?pid=MOBGRK35QGGTMTZ3&lid=LSTMOBGRK35QGGTMTZ3WDSRAQ&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=b46f67b3-ceb6-45a3-b220-ddfcadc3a722.MOBGRK35QGGTMTZ3.SEARCH&ppt=None&ppn=None&ssid=6d2lxew00w0000001735652226455&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Oasis-Green-256GB-Storage/dp/B0D7VGZS69/ref=mp_s_a_1_13?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQcwBXUuyZNE850WJ_n3YAdB-dWbLQ5rzwyCLXCi-wMfmHWbLHjtomPR5dOFHg-yX_f4i-Sd7kP4DL-pQ8tJCbsUtMc-rKBjMLQRNpax9HrA4USReNwSg_ZdPZ5roxvkWALis3bevMj-rMbKv8cJGDhSIPAnwez2hOSOBzwjPOLXUPwVf7H078tudUKfL1coUU-A.CqSt7VUtAdIS91sslp_qjh5Q5FB2Q2AadgDgvjowBwc&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735652215&sr=8-13,29429.0,29999.0,-570.0
"OnePlus Nord 4 5G (Mercurial Silver, 256 GB)","OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 256GB Storage)",https://www.flipkart.com/oneplus-nord-4-5g-mercurial-silver-256-gb/p/itmed83e7926e3e5?pid=MOBH3YA8UXSNRSXW&lid=LSTMOBH3YA8UXSNRSXWFMPSBV&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=b46f67b3-ceb6-45a3-b220-ddfcadc3a722.MOBH3YA8UXSNRSXW.SEARCH&ppt=None&ppn=None&ssid=6d2lxew00w0000001735652226455&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Nord-5G-Silver-Storage/dp/B0D5YD7QSS/ref=mp_s_a_1_6?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQcwBXUuyZNE850WJ_n3YAdB-dWbLQ5rzwyCLXCi-wMfmHWbLHjtomPR5dOFHg-yX_f4i-Sd7kP4DL-pQ8tJCbsUtMc-rKBjMLQRNpax9HrA4USReNwSg_ZdPZ5roxvkWALis3bevMj-rMbKv8cJGDhSIPAnwez2hOSOBzwjPOLXUPwVf7H078tudUKfL1coUU-A.CqSt7VUtAdIS91sslp_qjh5Q5FB2Q2AadgDgvjowBwc&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735652215&sr=8-6,29900.0,20999.0,8901.0
"OnePlus Nord 4 5G (Oasis Green, 256 GB)","OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 256GB Storage)",https://www.flipkart.com/oneplus-nord-4-5g-oasis-green-256-gb/p/itmed83e7926e3e5?pid=MOBH3YA8ZFTVSREP&lid=LSTMOBH3YA8ZFTVSREPRVVVBR&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=b46f67b3-ceb6-45a3-b220-ddfcadc3a722.MOBH3YA8ZFTVSREP.SEARCH&ppt=None&ppn=None&ssid=6d2lxew00w0000001735652226455&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Oasis-Green-256GB-Storage/dp/B0D7VGZS69/ref=mp_s_a_1_13?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQcwBXUuyZNE850WJ_n3YAdB-dWbLQ5rzwyCLXCi-wMfmHWbLHjtomPR5dOFHg-yX_f4i-Sd7kP4DL-pQ8tJCbsUtMc-rKBjMLQRNpax9HrA4USReNwSg_ZdPZ5roxvkWALis3bevMj-rMbKv8cJGDhSIPAnwez2hOSOBzwjPOLXUPwVf7H078tudUKfL1coUU-A.CqSt7VUtAdIS91sslp_qjh5Q5FB2Q2AadgDgvjowBwc&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735652215&sr=8-13,29997.0,29999.0,-2.0
"OnePlus Nord 4 5G (Obsidian Midnight, 128 GB)","OnePlus Nord 4 5G (Obsidian Midnight, 12GB RAM, 256GB Storage)",https://www.flipkart.com/oneplus-nord-4-5g-obsidian-midnight-128-gb/p/itmed83e7926e3e5?pid=MOBH4QTR9UTYMWGD&lid=LSTMOBH4QTR9UTYMWGDN8U4FD&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=b46f67b3-ceb6-45a3-b220-ddfcadc3a722.MOBH4QTR9UTYMWGD.SEARCH&ppt=None&ppn=None&ssid=6d2lxew00w0000001735652226455&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Obsidian-Midnight-256GB-Storage/dp/B0D7VGCPDL/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQcwBXUuyZNE850WJ_n3YAdB-dWbLQ5rzwyCLXCi-wMfmHWbLHjtomPR5dOFHg-yX_f4i-Sd7kP4DL-pQ8tJCbsUtMc-rKBjMLQRNpax9HrA4USReNwSg_ZdPZ5roxvkWALis3bevMj-rMbKv8cJGDhSIPAnwez2hOSOBzwjPOLXUPwVf7H078tudUKfL1coUU-A.CqSt7VUtAdIS91sslp_qjh5Q5FB2Q2AadgDgvjowBwc&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735652215&sr=8-10,27539.0,32999.0,-5460.0
"OnePlus Nord 4 5G (Obsidian Midnight, 256 GB)","OnePlus Nord 4 5G (Obsidian Midnight, 12GB RAM, 256GB Storage)",https://www.flipkart.com/oneplus-nord-4-5g-obsidian-midnight-256-gb/p/itmed83e7926e3e5?pid=MOBH3YA8PDNXWUGA&lid=LSTMOBH3YA8PDNXWUGAISOAUH&marketplace=FLIPKART&q=Oneplus+5g&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=b46f67b3-ceb6-45a3-b220-ddfcadc3a722.MOBH3YA8PDNXWUGA.SEARCH&ppt=None&ppn=None&ssid=6d2lxew00w0000001735652226455&qH=7165a04c75ca4a27,https://www.amazon.in/OnePlus-Obsidian-Midnight-256GB-Storage/dp/B0D7VGCPDL/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.FsqlbJVpvstbdYDRqGZQcwBXUuyZNE850WJ_n3YAdB-dWbLQ5rzwyCLXCi-wMfmHWbLHjtomPR5dOFHg-yX_f4i-Sd7kP4DL-pQ8tJCbsUtMc-rKBjMLQRNpax9HrA4USReNwSg_ZdPZ5roxvkWALis3bevMj-rMbKv8cJGDhSIPAnwez2hOSOBzwjPOLXUPwVf7H078tudUKfL1coUU-A.CqSt7VUtAdIS91sslp_qjh5Q5FB2Q2AadgDgvjowBwc&dib_tag=se&keywords=Oneplus+5g&nsdOptOutParam=true&qid=1735652215&sr=8-10,31449.0,32999.0,-1550.0
